Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number, Amount ,VAT Registration Number
BIS,BBSRC,01/11/2010,Fuel Oil R&M Consumables,IAH,Estate Management,IAH126,"47,715.95",
BIS,BBSRC,01/11/2010,L&B Other Fees Pirbright,IAH,Construction Services,IAH127,"30,052.99",
BIS,BBSRC,03-NOV-2010,Research Grant Expenditure,RISD - Innovation Skills,University of Essex,174195,"111,737.00",
BIS,BBSRC,03-NOV-2010,Research Institutes - Capital Grants: Major Works,FG - Accounts & Business Planning,Babraham Bioscience Technologies Ltd,177765,"396,246.00",
BIS,BBSRC,03-NOV-2010,Research Institutes - Capital Grants: Major Works,FG - Accounts & Business Planning,Institute for Animal Health,177762,"67,624.60",
BIS,BBSRC,03-NOV-2010,Research Institutes - Capital Grants: Major Works,FG - Accounts & Business Planning,Institute for Animal Health,177767,"165,019.41",
BIS,BBSRC,03-NOV-2010,Research Institutes - Capital Grants: Major Works,FG - Accounts & Business Planning,Roslin Developments Ltd,177763,"65,763.00",
BIS,BBSRC,03-NOV-2010,Research Institutes - Capital Grants: Major Works,FG - Procurement,John Innes Centre,177764,"53,900.00",
BIS,BBSRC,03-NOV-2010,Research Institutes - Capital Grants: Equipment,FG - Accounts & Business Planning,John Innes Centre,177766,"322,038.00",
BIS,BBSRC,03-NOV-2010,Management Services,HRG - Central Services,RCUK Shared Services Centre Ltd,177004,"13,303.00",
BIS,BBSRC,03-NOV-2010,Management Services,FG - Procurement,RCUK Shared Services Centre Ltd,177004,"113,630.00",
BIS,BBSRC,03-NOV-2010,Management Services,CIMG - Information Systems,RCUK Shared Services Centre Ltd,177004,"50,683.00",
BIS,BBSRC,03-NOV-2010,Management Services,RISD - Post Award,RCUK Shared Services Centre Ltd,177004,"26,885.00",
BIS,BBSRC,03-NOV-2010,Financial Services,HRG - HR Services,RCUK Shared Services Centre Ltd,177004,"1,537.00",
BIS,BBSRC,03-NOV-2010,Financial Services,FG - Accounts & Business Planning,RCUK Shared Services Centre Ltd,177004,"8,038.00",
BIS,BBSRC,03-NOV-2010,Rates,JBOS - Maintenance,Swindon Borough Council,175237,"60,190.00",
BIS,BBSRC,05/11/2010,Lab Supplies,IAH,Scientific Services,IAH128,"29,937.50",
BIS,BBSRC,08-NOV-2010,Research Institutes - Capital Grants: Major Works,Estates - Projects,Babraham Institute,180356,"105,219.00",
BIS,BBSRC,08-NOV-2010,Research Institutes - Capital Grants: Major Works,Estates - Projects,Institute of Food Research,180362,"294,991.00",
BIS,BBSRC,08-NOV-2010,Research Institutes - Capital Grants: Major Works,Estates - Projects,John Innes Centre,180358,"26,709.00",
BIS,BBSRC,08-NOV-2010,Research Institutes - Capital Grants: Minor Works,Estates - Projects,John Innes Centre,180361,"67,068.00",
BIS,BBSRC,08-NOV-2010,Research Institutes - Capital Grants: Equipment,Estates - Projects,Babraham Institute,180360,"45,727.00",
BIS,BBSRC,08-NOV-2010,Research Institutes - Capital Grants: Equipment,Estates - Projects,Institute of Food Research,180359,"170,335.00",
BIS,BBSRC,09/11/2010,Equipment,RRES,POWE-009 - POWERPEFECTOR PLC,308485," 61,310.33 ",
BIS,BBSRC,10-NOV-2010,,,Radisson Edwardian Heathrow,180165,"31,095.30",
BIS,BBSRC,10-NOV-2010,Research Grant Expenditure,RISD - Innovation Skills,Technology Strategy Board,181335,"47,911.07",
BIS,BBSRC,10-NOV-2010,Research Institutes - Competitive Strategic Grant,FG - Accounts & Business Planning,Babraham Institute,181902,"1,015,667.00",
BIS,BBSRC,10-NOV-2010,Research Institutes - Competitive Strategic Grant,FG - Accounts & Business Planning,Institute for Animal Health,181901,"575,436.00",
BIS,BBSRC,10/11/2010,Research Institutes - Competitive Strategic Grant,FG - Accounts & Business Planning,Institute of Food Research,181904,"607,625.00",
BIS,BBSRC,10/11/2010,Research Institutes - Competitive Strategic Grant,FG - Accounts & Business Planning,John Innes Centre,181905,"760,000.00",
BIS,BBSRC,10/11/2010,Research Institutes - Competitive Strategic Grant,FG - Accounts & Business Planning,North Wyke Research,181907,"110,000.00",
BIS,BBSRC,10/11/2010,Research Institutes - Competitive Strategic Grant,FG - Accounts & Business Planning,Rothamsted Research,181906,"623,207.00",
BIS,BBSRC,10/11/2010,Research Institutes - Competitive Strategic Grant,FG - Accounts & Business Planning,The Genome Analysis Centre,181900,"370,000.00",
BIS,BBSRC,10/11/2010,Research Institutes - Capital Grants: Equipment,FG - Accounts & Business Planning,Babraham Institute,181903,"54,000.00",
BIS,BBSRC,10/11/2010,Research Institutes - Capital Grants: Equipment,FG - Accounts & Business Planning,Institute for Animal Health,181898,"287,082.00",
BIS,BBSRC,10/11/2010,Research Institutes - Capital Grants: Equipment,FG - Accounts & Business Planning,Institute of Food Research,181896,"206,375.00",
BIS,BBSRC,10/11/2010,Research Institutes - Capital Grants: Equipment,FG - Accounts & Business Planning,John Innes Centre,181897,"396,000.00",
BIS,BBSRC,10/11/2010,Research Institutes - Capital Grants: Equipment,FG - Accounts & Business Planning,Rothamsted Research,181899,"326,793.00",
BIS,BBSRC,10/11/2010,Corporate Events,RISD - Director Office,"California State University Fullerton, Auxiliaty Services Corporation",181742,"47,751.08",
BIS,BBSRC,10/11/2010,Corporate Events,RISD - Director Office,European Science Foundation PROGRAMME,181333,"31,363.09",
BIS,BBSRC,10/11/2010,Realised Gains,RISD - UKRO,UK Research Office,181420,"36,008.04",
BIS,BBSRC,12/11/2010,Annual maint contract scientific equip,RRES,JEOL-001 - Jeol (uk) Ltd,309332," 46,390.20 ",
BIS,BBSRC,12/11/2010,HPLC System,RRES,SHIM-001 - Shimadzu UK Ltd,309310," 35,250.00 ",
BIS,BBSRC,15/11/2010,Electricity Costs,IAH,Estate Management,IAH130,"46,106.54",
BIS,BBSRC,15/11/2010,Pirbright Project DP Management,IAH,Project Management Services,IAH131,"44,798.05",
BIS,BBSRC,15/11/2010,Main Boilerhouse,IAH,Estate Management,IAH132,"61,233.20",
BIS,BBSRC,15/11/2010,Electricity supply,RRES,EDFE-001 - EDF ENERGY CUSTOMERS PLC,309544," 47,999.27 ",
BIS,BBSRC,16/11/2010,Research Institutes - Capital Grants: Major Works,Estates - Projects,Institute for Animal Health,185406,"1,543,919.64",
BIS,BBSRC,16/11/2010,Research Institutes - Capital Grants: Major Works,Estates - Projects,Institute for Animal Health,185412,"562,731.34",
BIS,BBSRC,16/11/2010,Research Institutes - Capital Grants: Major Works,Estates - Projects,John Innes Centre,185408,"451,407.00",
BIS,BBSRC,16/11/2010,Research Institutes - Capital Grants: Major Works,Estates - Projects,North Wyke Research,185410,"190,389.46",
BIS,BBSRC,16/11/2010,Research Institutes - Capital Grants: Minor Works,Estates - Projects,Babraham Institute,185411,"115,000.00",
BIS,BBSRC,16/11/2010,Research Institutes - Capital Grants: Equipment,Estates - Projects,Babraham Institute,185404,"109,734.00",
BIS,BBSRC,17/11/2010,,,Bdi Security Solutions Ltd,117134,"29,295.59",
BIS,BBSRC,17/11/2010,,,The Royal Society of Edinburgh,183262,"135,111.73",
BIS,BBSRC,17/11/2010,Corporate Events,RISD - Director Office,Technology Strategy Board,186027,"32,500.00",
BIS,BBSRC,18/11/2010,Construction (Contractor),IAH,Construction Services,IAH125,"1,543,919.64",
BIS,BBSRC,22/11/2010,Research Institutes - Capital Grants: Equipment,FG - Accounts & Business Planning,Institute for Animal Health,186804,"64,000.00",
BIS,BBSRC,23/11/2010,Gas supply,RRES,CORO-001 - CORONA ENERGY,310462," 30,930.12 ",
BIS,BBSRC,24/11/2010,,,Sodexo Pass Ltd,187860,"34,039.01",
BIS,BBSRC,24/11/2010,,,Taylor Wimpey UK Limited,189244,"49,278.42",
BIS,BBSRC,24/11/2010,,,The Royal Society of Edinburgh,186919,"49,014.00",
BIS,BBSRC,24/11/2010,Research Grant Expenditure,RISD - Innovation Skills,Warwick University Services Ltd,187573,"130,580.00",
BIS,BBSRC,24/11/2010,Building Works,RRES,T&B-001 - T & B (CONTRACTORS) LTD,310684," 32,350.10 ",
BIS,BBSRC,24/11/2010,Optiflex 960,RRES,DELL-001 - Dell Computer Corporation Ltd,310698," 30,330.51 ",
BIS,BBSRC,29/11/2010,Research Institutes - Competitive Strategic Grant,FG - Accounts & Business Planning,John Innes Centre,189543,"87,500.00",
BIS,BBSRC,30/11/2010,Standard Charge Expenses,Central Purchases - SO,Cable & Wireless,192774,"105,384.25",
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
